sz,mean,median
3,8.900158999999999,8.915183333333333
4,8.819414166666668,8.832925
5,8.771504499999999,8.8044
6,8.356409666666664,8.372591666666667
7,8.285449833333331,8.297025
8,8.33405,8.337908333333335
9,8.290991428571433,8.29062857142857
10,8.3255185,8.329408333333333
11,8.31163657142857,8.329192857142857
12,8.091004142857146,8.109878571428572
13,8.003957428571425,8.024507142857143
14,8.015155714285717,8.027192857142856
15,8.003342714285713,8.026314285714285
16,8.01330714285714,8.024864285714285
17,8.032582714285715,8.039414285714285
18,8.033002857142858,8.038421428571429
19,7.993628714285718,8.02575
20,8.016353142857147,8.032064285714286
21,7.9848269999999975,7.976507142857143
22,8.037143999999998,8.03475
23,7.9876734285714255,8.015292857142857
24,7.960832714285715,7.981114285714286
25,7.915741428571429,7.943464285714286
26,7.956233857142857,7.971642857142857
27,7.883006285714285,7.872221428571429
28,7.952193428571428,7.967971428571429
29,7.922838285714285,7.947435714285715
30,7.954452142857143,7.970207142857142
31,7.913488428571428,7.932557142857143
32,7.9146241428571456,7.940192857142858
33,7.866220857142855,7.831757142857143
34,7.876134714285718,7.859521428571429
35,7.921921142857143,7.952321428571429
36,7.8885758571428575,7.88145
37,7.881211999999999,7.858585714285715
38,7.9187588571428575,7.933985714285715
39,7.859190714285715,7.821428571428572
40,7.920438142857138,7.956535714285715
41,7.928530571428572,7.9560571428571425
42,7.8960795714285705,7.895035714285714
43,7.887796,7.8627142857142855
44,7.907823285714285,7.928821428571429
45,7.9034157142857175,7.908664285714285
46,7.918331428571429,7.9421928571428575
47,7.905034999999996,7.913942857142858
48,7.987147714285717,8.006007142857143
49,8.455806333333335,8.356183333333334
50,8.442996333333335,8.466916666666668
51,8.398734666666664,8.36765
52,8.448937333333333,8.471375
53,8.451327166666667,8.485583333333333
54,8.404858500000001,8.373
55,8.454798000000002,8.485575
56,8.442847166666668,8.473041666666667
57,8.399999166666667,8.3627
58,8.456231999999998,8.472066666666668
59,8.479769499999998,8.492725
60,8.459698833333336,8.49125
61,8.484638333333335,8.489508333333331
62,8.473007166666664,8.489383333333334
63,8.452239999999998,8.467633333333332
64,8.480899166666667,8.495308333333332
65,8.482777500000003,8.491158333333335
66,8.463351166666671,8.483458333333333
67,8.475134500000003,8.489908333333334
68,8.48589516666667,8.494391666666669
69,8.474913333333335,8.490275
70,8.441001833333338,8.464233333333334
71,8.411744333333331,8.37355
72,8.467024333333333,8.491966666666668
73,8.485211833333333,8.488991666666667
74,8.478769333333332,8.49565
75,8.456233333333335,8.470125
76,8.473150333333333,8.486208333333332
77,8.477874666666667,8.487141666666668
78,8.469061833333337,8.491791666666666
79,8.476027166666665,8.485475
80,8.474661833333336,8.488541666666668
81,8.477486999999998,8.48755
82,8.474886833333336,8.4817
83,8.435681666666666,8.415475
84,8.451480833333337,8.486858333333334
85,8.488044833333335,8.493191666666668
86,8.436809166666668,8.444733333333334
87,8.453863833333331,8.480766666666666
88,8.473452166666666,8.491716666666665
89,8.4819925,8.4904
90,8.450174500000006,8.472691666666666
91,8.474475666666665,8.48885
92,8.477690333333333,8.490591666666665
93,8.431208999999997,8.413575
94,8.473198333333336,8.48995
95,8.478125000000002,8.489091666666669
96,8.443867999999997,8.454533333333332
97,9.046706333333338,9.054533333333332
98,10.1245912,10.11677
99,10.1090816,10.1177
100,10.033046800000001,10.01362
101,10.104362400000001,10.12036
102,10.1113214,10.12001
103,10.0538784,10.0484
104,10.0764222,10.09052
105,10.095579,10.11439
106,10.0716854,10.06194
107,10.109299400000001,10.12088
108,10.050269199999999,10.04488
109,10.1114736,10.12071
110,10.106108,10.11781
111,10.114757,10.12085
112,10.063716,10.06932
113,10.099216199999999,10.11241
114,10.105126,10.1163
115,10.0368176,10.0108
116,10.0397298,10.01144
117,10.082008,10.10458
118,10.0450148,10.04121
119,10.104090800000002,10.11767
120,10.0379006,10.01028
121,10.092944800000001,10.11068
122,10.1114194,10.12104
123,10.103973,10.1246
124,10.0260818,10.01558
125,10.0678488,10.07313
126,10.1043696,10.11966
127,10.043318,10.01418
128,10.019438,10.00265
129,10.078614400000001,10.09231
130,10.0328846,10.00403
131,10.110431,10.12408
132,10.026412800000001,10.00291
133,10.087827599999999,10.10543
134,10.107115199999999,10.124
135,10.1039706,10.1197
136,10.0216054,10.00797
137,10.079616,10.09821
138,10.0867766,10.0873
139,10.0379558,10.01019
140,10.0463504,10.02595
141,10.096112,10.11711
142,10.0557808,10.05631
143,10.1168508,10.12751
144,10.041781199999999,10.013
145,10.0921664,10.11573
146,10.108658199999999,10.12664
147,10.1084788,10.12074
148,10.0409746,10.01065
149,10.0888354,10.11139
150,10.1005438,10.11694
