sz,mean,median,lowest_mean,highest_mean
3,0.718486815,0.718386588,0.611452646,1.068026164
4,0.710209938,0.710547569,,
5,0.66680893,0.667727847,,
6,0.66670763,0.667041925,,
7,0.667578859,0.667476282,,
8,0.667420177,0.667422705,,
9,0.658547685,0.658783374,,
10,0.627931981,0.627318794,,
11,0.627566861,0.627510958,,
12,0.624765289,0.626525463,,
13,0.627551445,0.627617316,,
14,0.62467245,0.626102232,,
15,0.627654546,0.627477525,,
16,0.625101057,0.627161206,,
17,0.627194209,0.627343488,,
18,0.627353758,0.627660935,,
19,0.622534271,0.622394455,,
20,0.611867565,0.611879503,,
21,0.612304302,0.612428803,,
22,0.611692148,0.611747597,,
23,0.611728991,0.611627231,,
24,0.611497279,0.611566757,,
25,0.612662106,0.612074256,,
26,0.611796507,0.611910041,,
27,0.612929374,0.612277917,,
28,0.612121384,0.612195479,,
29,0.611522838,0.611821695,,
30,0.611898343,0.611749612,,
31,0.612245389,0.611989446,,
32,0.612002482,0.611914939,,
33,0.612562791,0.612443464,,
34,0.612548091,0.612146761,,
35,0.61190515,0.611775185,,
36,0.611512628,0.611616042,,
37,0.612444455,0.612671719,,
38,0.611452646,0.61140628,,
39,0.642145015,0.642249713,,
40,0.643749189,0.643960964,,
41,0.643885906,0.64421461,,
42,0.640012442,0.640504583,,
43,0.643526245,0.643409092,,
44,0.643244973,0.643618006,,
45,0.642731697,0.643165531,,
46,0.642958794,0.64330483,,
47,0.643657897,0.643310598,,
48,0.640542187,0.639670627,,
49,0.643191882,0.643378701,,
50,0.643227444,0.643278137,,
51,0.64000882,0.640258207,,
52,0.642711604,0.643442006,,
53,0.643061616,0.643531795,,
54,0.640946633,0.640521061,,
55,0.640679324,0.640978333,,
56,0.640904792,0.640405729,,
57,0.643022388,0.643358974,,
58,0.643498703,0.643786932,,
59,0.643099715,0.643139099,,
60,0.640628031,0.640351003,,
61,0.643083055,0.643468218,,
62,0.641049417,0.641017105,,
63,0.639872741,0.640358665,,
64,0.642664724,0.643334321,,
65,0.639858573,0.640221039,,
66,0.639007312,0.638069866,,
67,0.639776349,0.640974718,,
68,0.643244532,0.643695077,,
69,0.642847467,0.643188662,,
70,0.643286114,0.643413801,,
71,0.643119675,0.643313582,,
72,0.643352401,0.643731153,,
73,0.642414565,0.643154834,,
74,0.643338816,0.643649059,,
75,0.64351774,0.643497985,,
76,0.643346735,0.643404934,,
77,0.643941332,0.644073715,,
78,0.751820157,0.751811733,,
79,0.761277669,0.759547414,,
80,0.767006333,0.767080908,,
81,0.767387903,0.767263337,,
82,0.760274357,0.758972846,,
83,0.766909025,0.767418523,,
84,0.767889696,0.767659456,,
85,0.760637132,0.758974284,,
86,0.763574817,0.762993986,,
87,0.767131903,0.76717253,,
88,0.760767696,0.758966791,,
89,0.764160136,0.763797321,,
90,0.768013677,0.767989003,,
91,0.760317159,0.759596997,,
92,0.766874352,0.766889692,,
93,0.767589595,0.767422881,,
94,0.761793638,0.760132586,,
95,0.76641693,0.766831834,,
96,0.767963207,0.767845518,,
97,0.760711944,0.759610637,,
98,0.766706677,0.766890476,,
99,0.767373327,0.767237262,,
100,0.761481485,0.759428802,,
101,0.766686179,0.767161772,,
102,0.767639135,0.767578517,,
103,0.760829359,0.759585247,,
104,0.76486959,0.764051218,,
105,0.768113531,0.767546971,,
106,0.761505611,0.759454126,,
107,0.766863931,0.767092133,,
108,0.768300363,0.767834044,,
109,0.759586751,0.758664767,,
110,0.767053378,0.766725086,,
111,0.766789805,0.766881058,,
112,0.760700463,0.759608718,,
113,0.76696397,0.767472361,,
114,0.767652524,0.767774698,,
115,0.761571698,0.759987473,,
116,0.76709256,0.767260553,,
117,0.767233556,0.767218016,,
118,0.760625209,0.759336,,
119,0.766395498,0.766940855,,
120,0.767250988,0.767163281,,
121,0.760511374,0.759033694,,
122,0.766349451,0.76667109,,
123,0.767467241,0.767504821,,
124,0.761290432,0.759566229,,
125,0.766914845,0.7670345,,
126,0.762910713,0.762076622,,
127,0.760529499,0.759458683,,
128,0.768209106,0.767736908,,
129,0.767012303,0.767118191,,
130,0.759518982,0.758756134,,
131,0.766344416,0.766775106,,
132,0.767682211,0.767671591,,
133,0.761125459,0.759246301,,
134,0.766296403,0.766877348,,
135,0.767458474,0.767330759,,
136,0.76031165,0.75974151,,
137,0.766426958,0.766912943,,
138,0.767102575,0.767277559,,
139,0.761894429,0.759678088,,
140,0.768011385,0.767192469,,
141,0.767505784,0.767507063,,
142,0.760206147,0.759655341,,
143,0.766882713,0.7669625,,
144,0.767323351,0.767292225,,
145,0.760517451,0.7595355,,
146,0.766661588,0.76704055,,
147,0.767381449,0.767304305,,
148,0.760043458,0.758761396,,
149,0.767825199,0.767265767,,
150,0.767044057,0.767115962,,
151,0.761413663,0.760455417,,
152,0.767284285,0.767371892,,
153,0.76691504,0.767009422,,
154,0.760577962,0.759556943,,
155,0.766248194,0.766579521,,
156,0.99087308,0.990946221,,
157,1.059199359,1.059088333,,
158,1.065723579,1.066032778,,
159,1.065955895,1.066224007,,
160,1.059177675,1.059037434,,
161,1.065557998,1.065842731,,
162,1.065356098,1.065876364,,
163,1.060685732,1.060043119,,
164,1.064287512,1.065398854,,
165,1.065656768,1.066283941,,
166,1.060345425,1.059788772,,
167,1.063364211,1.063883065,,
168,1.061967614,1.060715385,,
169,1.059871495,1.059642264,,
170,1.065032891,1.065396569,,
171,1.065231439,1.065817347,,
172,1.059927316,1.059713886,,
173,1.065578625,1.066153645,,
174,1.065426785,1.065911371,,
175,1.059986594,1.059635061,,
176,1.065159766,1.065975208,,
177,1.065244005,1.06567191,,
178,1.059515461,1.059500207,,
179,1.065056943,1.0654275,,
180,1.062551626,1.061337803,,
181,1.05934305,1.059098936,,
182,1.065328258,1.065906918,,
183,1.066294219,1.065923052,,
184,1.061324836,1.06003295,,
185,1.06548515,1.065879972,,
186,1.065323402,1.065738258,,
187,1.060922252,1.059802618,,
188,1.065949927,1.066109778,,
189,1.065864392,1.066189532,,
190,1.059432388,1.059108682,,
191,1.065202018,1.065719762,,
192,1.065653033,1.066156115,,
193,1.05973674,1.059295245,,
194,1.064882016,1.065327825,,
195,1.065010245,1.065807143,,
196,1.059821298,1.059612821,,
197,1.065728687,1.065827878,,
198,1.065365415,1.065820915,,
199,1.064036703,1.064823636,,
200,1.065229133,1.065149867,,
201,1.06533784,1.065861385,,
202,1.060177781,1.059944759,,
203,1.06565,1.066251988,,
204,1.065235714,1.065455535,,
205,1.059388318,1.059418869,,
206,1.066109896,1.066385897,,
207,1.06609501,1.0661883,,
208,1.059487405,1.05916222,,
209,1.065651127,1.066121527,,
210,1.068026164,1.066364634,,
211,1.059824876,1.059495833,,
212,1.065445059,1.066173243,,
213,1.065856155,1.065999513,,
214,1.059339156,1.059107173,,
215,1.06577606,1.065851667,,
216,1.065543933,1.065935577,,
217,1.060122045,1.05967903,,
218,1.065412662,1.065835363,,
219,1.065581499,1.066012074,,
220,1.059651756,1.059532267,,
221,1.065073275,1.065474571,,
222,1.066310699,1.06653141,,
223,1.059859924,1.059649777,,
224,1.065258474,1.065390417,,
225,1.065899248,1.066319302,,
226,1.063061954,1.064261888,,
227,1.06500071,1.065680433,,
228,1.065636063,1.066020955,,
229,1.060652585,1.059467716,,
230,1.065669172,1.066065409,,
231,1.065918868,1.066169211,,
232,1.059437081,1.059156894,,
233,1.065886201,1.066251893,,
234,1.065494539,1.066209838,,
235,1.059331983,1.05918096,,
236,1.065498592,1.065917767,,
237,1.066053326,1.066202411,,
238,1.059816091,1.059632331,,
239,1.065381974,1.065799396,,
240,1.066346091,1.066375377,,
241,1.059646531,1.059389123,,
242,1.06481374,1.065574273,,
243,1.065527885,1.065945875,,
244,1.05940438,1.059241667,,
245,1.065620674,1.06608599,,
246,1.065967785,1.06652613,,
247,1.059980177,1.059532877,,
248,1.065616233,1.066161862,,
249,1.065445373,1.065740609,,
250,1.059855875,1.059465807,,
251,1.065031919,1.065518853,,
252,1.065759668,1.066212614,,
253,1.059430058,1.05909028,,
254,1.065479569,1.065476991,,
255,1.065584892,1.066214286,,
256,1.059755915,1.059571101,,
