sz,mean,median,min,max
3,0.042158209,0.041987828,0.023519728,0.116091601
4,0.033407625,0.033294989,,
5,0.033129079,0.033014723,,
6,0.033577545,0.033496051,,
7,0.031271834,0.031250836,,
8,0.025285084,0.025231995,,
9,0.02528056,0.025154177,,
10,0.024881276,0.024816819,,
11,0.025015127,0.02500692,,
12,0.024907175,0.024886612,,
13,0.025212673,0.025171074,,
14,0.025219352,0.025187566,,
15,0.024964234,0.024943291,,
16,0.024080229,0.024056574,,
17,0.023801175,0.0238338,,
18,0.023730387,0.023836084,,
19,0.023976153,0.023989695,,
20,0.023949202,0.023951334,,
21,0.023519728,0.023442126,,
22,0.023682675,0.023719135,,
23,0.023731414,0.023685966,,
24,0.023964641,0.023917492,,
25,0.024028733,0.023959182,,
26,0.023879544,0.023867418,,
27,0.023537294,0.023678337,,
28,0.02356972,0.023633537,,
29,0.024057444,0.024130576,,
30,0.024411406,0.024049484,,
31,0.024393438,0.024391689,,
32,0.025283827,0.024722444,,
33,0.024145397,0.023849777,,
34,0.024394773,0.024220459,,
35,0.024106008,0.024051288,,
36,0.024164602,0.024081085,,
37,0.024038948,0.024026496,,
38,0.024283945,0.024257486,,
39,0.02436859,0.024307674,,
40,0.024133323,0.024059165,,
41,0.024015689,0.023942347,,
42,0.024254922,0.024217196,,
43,0.024034553,0.024029956,,
44,0.024511046,0.024365617,,
45,0.024032466,0.024083353,,
46,0.024277496,0.024218923,,
47,0.024201877,0.024068927,,
48,0.024380944,0.024339601,,
49,0.023918721,0.023874738,,
50,0.024316187,0.024289082,,
51,0.024275248,0.024187691,,
52,0.024300084,0.024227767,,
53,0.024085003,0.024095803,,
54,0.024395282,0.02425088,,
55,0.023934998,0.023819095,,
56,0.02421365,0.024112712,,
57,0.023803513,0.023821413,,
58,0.024238305,0.024158723,,
59,0.023901488,0.023910183,,
60,0.024539011,0.024428829,,
61,0.024128797,0.02412029,,
62,0.02898355,0.029033582,,
63,0.034358116,0.034206015,,
64,0.034342822,0.034283997,,
65,0.034396217,0.034332856,,
66,0.034539626,0.034433506,,
67,0.034382364,0.034521095,,
68,0.034276978,0.034213261,,
69,0.034271574,0.034319253,,
70,0.034111854,0.034069949,,
71,0.034468233,0.034380038,,
72,0.034447791,0.034461496,,
73,0.034431969,0.034376132,,
74,0.03450273,0.034504314,,
75,0.034424639,0.034388849,,
76,0.03436941,0.034368877,,
77,0.034341431,0.034346527,,
78,0.034263562,0.034239511,,
79,0.034124664,0.033937398,,
80,0.034055485,0.034001252,,
81,0.034275248,0.034206946,,
82,0.03422838,0.034241286,,
83,0.034362462,0.034319767,,
84,0.034218533,0.034184561,,
85,0.034057464,0.033943832,,
86,0.034486186,0.034387581,,
87,0.034254887,0.034153898,,
88,0.034396721,0.034373995,,
89,0.034167096,0.034075903,,
90,0.03433592,0.034241949,,
91,0.034352293,0.034366304,,
92,0.034426828,0.034362701,,
93,0.034342535,0.034266164,,
94,0.034354968,0.034326507,,
95,0.034021994,0.03394816,,
96,0.034224981,0.034128979,,
97,0.034059344,0.033962011,,
98,0.034529856,0.034535509,,
99,0.034408358,0.034365349,,
100,0.034382255,0.034294758,,
101,0.034267853,0.034236422,,
102,0.034416659,0.034430799,,
103,0.034313472,0.034213373,,
104,0.034454302,0.034380524,,
105,0.034348602,0.034315156,,
106,0.034325115,0.034246317,,
107,0.034373882,0.034369467,,
108,0.03426966,0.034266639,,
109,0.034428252,0.034328875,,
110,0.034279335,0.034252691,,
111,0.034370884,0.034370573,,
112,0.034408128,0.034434195,,
113,0.034181514,0.034094078,,
114,0.034367413,0.034377381,,
115,0.034370623,0.034291,,
116,0.034555188,0.034480683,,
117,0.034321158,0.034254576,,
118,0.03444499,0.034414624,,
119,0.034249856,0.034192995,,
120,0.034559605,0.034553105,,
121,0.034675198,0.034583361,,
122,0.034463349,0.034398574,,
123,0.034481783,0.034321562,,
124,0.03410802,0.034091653,,
125,0.062675079,0.062662164,,
126,0.062522104,0.062454392,,
127,0.062828392,0.062738696,,
128,0.062625705,0.062620908,,
129,0.06258132,0.062541705,,
130,0.062590705,0.062589828,,
131,0.062632628,0.062604142,,
132,0.062682915,0.062639971,,
133,0.06266111,0.062611311,,
134,0.062731519,0.062682333,,
135,0.062646749,0.062581117,,
136,0.062544254,0.062518817,,
137,0.062531789,0.06249478,,
138,0.06265884,0.062599093,,
139,0.06262104,0.062598911,,
140,0.062737888,0.062660745,,
141,0.06265178,0.062633371,,
142,0.062632225,0.062584476,,
143,0.062605538,0.062647594,,
144,0.062562493,0.062533543,,
145,0.062706391,0.062652183,,
146,0.062383175,0.062384259,,
147,0.062570979,0.062524243,,
148,0.062548389,0.062481674,,
149,0.062375445,0.062282874,,
150,0.062617503,0.062629359,,
151,0.062582312,0.062570529,,
152,0.06262515,0.062560226,,
153,0.062700505,0.062656755,,
154,0.062647302,0.062609559,,
155,0.062733607,0.062718845,,
156,0.062645087,0.062611171,,
157,0.062537737,0.062502288,,
158,0.062470219,0.062457569,,
159,0.062582863,0.062520526,,
160,0.062439444,0.062423787,,
161,0.062507851,0.062461932,,
162,0.062541918,0.062535233,,
163,0.062761171,0.062735787,,
164,0.062663238,0.062614116,,
165,0.062636704,0.062595762,,
166,0.062578386,0.062606566,,
167,0.062649505,0.062549975,,
168,0.06265725,0.062615842,,
169,0.062704921,0.062678257,,
170,0.062566633,0.062514259,,
171,0.062720568,0.062705751,,
172,0.062691913,0.06270532,,
173,0.062674271,0.062566434,,
174,0.062582707,0.062538414,,
175,0.062738395,0.062652452,,
176,0.062641072,0.062591085,,
177,0.062584727,0.062542459,,
178,0.062616501,0.062596933,,
179,0.062772002,0.062656326,,
180,0.062638434,0.062586883,,
181,0.0628043,0.062781686,,
182,0.062729527,0.062737393,,
183,0.06261867,0.062607755,,
184,0.062623532,0.062619279,,
185,0.062637839,0.062620905,,
186,0.062567655,0.062545751,,
187,0.062507335,0.062462535,,
188,0.062437232,0.06234923,,
189,0.062699265,0.062588679,,
190,0.06259334,0.062584794,,
191,0.062748503,0.062719996,,
192,0.062517173,0.062453808,,
193,0.062653129,0.06264434,,
194,0.062777821,0.062696148,,
195,0.062690662,0.062698613,,
196,0.062720078,0.062657293,,
197,0.062631325,0.062590561,,
198,0.06267811,0.06261092,,
199,0.062755494,0.062754945,,
200,0.062762214,0.062692045,,
201,0.062726046,0.062580299,,
202,0.062674913,0.062652083,,
203,0.062637779,0.06253317,,
204,0.0625804,0.062548516,,
205,0.062627911,0.062583315,,
206,0.062820138,0.062800746,,
207,0.062584615,0.062580678,,
208,0.062771048,0.062739109,,
209,0.06274475,0.062714322,,
210,0.062638111,0.062638759,,
211,0.062633478,0.062577304,,
212,0.062663265,0.062602726,,
213,0.062525372,0.062466385,,
214,0.062931847,0.062785553,,
215,0.062523653,0.062427011,,
216,0.062701968,0.062605061,,
217,0.062367917,0.062085055,,
218,0.062842375,0.062664074,,
219,0.062871156,0.062810632,,
220,0.062810759,0.062742641,,
221,0.062724613,0.062689316,,
222,0.062656111,0.0626239,,
223,0.062652592,0.062685051,,
224,0.062603219,0.062597421,,
225,0.062449682,0.062401495,,
226,0.062811068,0.062760898,,
227,0.062575309,0.06257945,,
228,0.062628956,0.062600041,,
229,0.062684043,0.062701529,,
230,0.062656332,0.062543487,,
231,0.062694617,0.062674375,,
232,0.062779368,0.062705827,,
233,0.062551722,0.062535501,,
234,0.062689112,0.062690899,,
235,0.06268797,0.062577447,,
236,0.062733839,0.062678906,,
237,0.062659884,0.062628267,,
238,0.062508216,0.062526241,,
239,0.06264755,0.062609084,,
240,0.062630134,0.062554622,,
241,0.062612444,0.062607389,,
242,0.062651276,0.062603506,,
243,0.062648647,0.062634637,,
244,0.06282716,0.062700472,,
245,0.062600666,0.062556918,,
246,0.062780166,0.062751222,,
247,0.062706709,0.06264632,,
248,0.062737774,0.062714664,,
249,0.06268043,0.062648,,
250,0.116049759,0.115991613,,
251,0.116066588,0.116044974,,
252,0.116085115,0.116075665,,
253,0.116008016,0.115990337,,
254,0.116091601,0.11602892,,
255,0.116074366,0.116081702,,
256,0.116025904,0.115979846,,
