sz,mean,median,mean (ms),median (ms)
3,108648296,108660050,108.648296,108.66005
4,108665063,109227850,108.665063,109.22785
5,109139458,109298950,109.139458,109.29895
6,108862374,109163100,108.862374,109.1631
7,105564017,107464200,105.564017,107.4642
8,104154136,104366700,104.154136,104.3667
9,104267543,104352850,104.267543,104.35285
10,104041742,104365650,104.041742,104.36565
11,104118441,104367200,104.118441,104.3672
12,103816802,104282900,103.816802,104.2829
13,104090699,104340200,104.090699,104.3402
14,102798588,104310450,102.798588,104.31045
15,102093465,102412050,102.093465,102.41205
16,101224541,101450950,101.224541,101.45095
17,100058497,101450800,100.058497,101.4508
18,101084878,101489550,101.084878,101.48955
19,101288487,101475950,101.288487,101.47595
20,95743750,95615100,95.74375,95.6151
21,101273081,101520550,101.273081,101.52055
22,101312233,101536350,101.312233,101.53635
23,101200005,101490650,101.200005,101.49065
24,101191864,101527600,101.191864,101.5276
25,101314694,101507450,101.314694,101.50745
26,99252669,101406200,99.252669,101.4062
27,101264002,101517500,101.264002,101.5175
28,101445513,101562550,101.445513,101.56255
29,101190986,101492300,101.190986,101.4923
30,99685465,101704000,99.685465,101.704
31,97389728,96296400,97.389728,96.2964
32,101684095,102142750,101.684095,102.14275
33,98940668,98814800,98.940668,98.8148
34,101741694,102133250,101.741694,102.13325
35,100458840,102077000,100.45884,102.077
36,99862863,102033000,99.862863,102.033
37,101828033,102163550,101.828033,102.16355
38,101959772,102113750,101.959772,102.11375
39,101674439,102141100,101.674439,102.1411
40,101982963,102151200,101.982963,102.1512
41,101777770,102145550,101.77777,102.14555
42,101720590,102122700,101.72059,102.1227
43,101733653,102119350,101.733653,102.11935
44,101816362,102144450,101.816362,102.14445
45,101802275,102142500,101.802275,102.1425
46,102041966,102154450,102.041966,102.15445
47,97964113,96689850,97.964113,96.68985
48,101272504,102020800,101.272504,102.0208
49,102010104,102140400,102.010104,102.1404
50,101943323,102153200,101.943323,102.1532
51,101915578,102113550,101.915578,102.11355
52,101940706,102113400,101.940706,102.1134
53,101805804,102151150,101.805804,102.15115
54,101850829,102161150,101.850829,102.16115
55,102062680,102166900,102.06268,102.1669
56,99667005,102015250,99.667005,102.01525
57,101816408,102142450,101.816408,102.14245
58,102037354,102166950,102.037354,102.16695
59,101772917,102151550,101.772917,102.15155
60,101642900,102077350,101.6429,102.07735
61,109006262,109528950,109.006262,109.52895
62,109506241,109839100,109.506241,109.8391
63,109505212,109767350,109.505212,109.76735
64,109680313,109807800,109.680313,109.8078
65,109314702,109807750,109.314702,109.80775
66,109649754,109814900,109.649754,109.8149
67,109396552,109787350,109.396552,109.78735
68,109447190,109795300,109.44719,109.7953
69,109265701,109753500,109.265701,109.7535
70,109574738,109839700,109.574738,109.8397
71,109432041,109786300,109.432041,109.7863
72,109637211,109850950,109.637211,109.85095
73,109448751,109774300,109.448751,109.7743
74,109404430,109832850,109.40443,109.83285
75,109467029,109773150,109.467029,109.77315
76,109381958,109794350,109.381958,109.79435
77,109338588,109779200,109.338588,109.7792
78,109544406,109785950,109.544406,109.78595
79,109470938,109819150,109.470938,109.81915
80,109276953,109821950,109.276953,109.82195
81,109512794,109822300,109.512794,109.8223
82,109634068,109837700,109.634068,109.8377
83,109469773,109819600,109.469773,109.8196
84,109595629,109845500,109.595629,109.8455
85,109569101,109788150,109.569101,109.78815
86,109485498,109786500,109.485498,109.7865
87,105651936,104574250,105.651936,104.57425
88,109501456,109846250,109.501456,109.84625
89,109383076,109844150,109.383076,109.84415
90,109662347,109811900,109.662347,109.8119
91,109643270,109841250,109.64327,109.84125
92,109542207,109793450,109.542207,109.79345
93,109433625,109790400,109.433625,109.7904
94,109350351,109769800,109.350351,109.7698
95,109496031,109829450,109.496031,109.82945
96,109008427,109782750,109.008427,109.78275
97,109533436,109783950,109.533436,109.78395
98,109102114,109734700,109.102114,109.7347
99,107352856,109269300,107.352856,109.2693
100,109348125,109813900,109.348125,109.8139
101,109538976,109805550,109.538976,109.80555
102,109412558,109801550,109.412558,109.80155
103,109581381,109830550,109.581381,109.83055
104,109437454,109804600,109.437454,109.8046
105,109349058,109766850,109.349058,109.76685
106,109448721,109788100,109.448721,109.7881
107,109564129,109835350,109.564129,109.83535
108,109507650,109825300,109.50765,109.8253
109,106406350,104818550,106.40635,104.81855
110,109506017,109849300,109.506017,109.8493
111,109333648,109811800,109.333648,109.8118
112,109660497,109803650,109.660497,109.80365
113,109589955,109819100,109.589955,109.8191
114,109476914,109799200,109.476914,109.7992
115,109290310,109792250,109.29031,109.79225
116,104670665,104309850,104.670665,104.30985
117,108452231,109785200,108.452231,109.7852
118,108937896,109783900,108.937896,109.7839
119,104955711,104140200,104.955711,104.1402
120,109309762,109810400,109.309762,109.8104
121,109163302,109799650,109.163302,109.79965
122,128775142,129511300,128.775142,129.5113
123,129232103,130296800,129.232103,130.2968
124,129844805,130911200,129.844805,130.9112
125,130024048,130924950,130.024048,130.92495
126,130183789,130990600,130.183789,130.9906
127,129784481,130930250,129.784481,130.93025
128,130094600,130974600,130.0946,130.9746
129,130092179,130930800,130.092179,130.9308
130,130122276,130971350,130.122276,130.97135
131,130141200,130959550,130.1412,130.95955
132,129970488,130958600,129.970488,130.9586
133,130328823,130998800,130.328823,130.9988
134,129590672,130332200,129.590672,130.3322
135,129374021,130357150,129.374021,130.35715
136,129691442,130866100,129.691442,130.8661
137,130082650,130968700,130.08265,130.9687
138,129653036,130517150,129.653036,130.51715
139,129891680,130895100,129.89168,130.8951
140,129361476,130231950,129.361476,130.23195
141,129982747,130916100,129.982747,130.9161
142,129917919,130941500,129.917919,130.9415
143,129760223,130847850,129.760223,130.84785
