sz,mean,median
3,9.100820666666664,9.100216666666666
4,9.056606333333335,9.055616666666667
5,9.049721666666668,9.05765
6,8.590024000000001,8.5898
7,8.528047999999997,8.527
8,8.515712333333338,8.51415
9,8.576311833333333,8.52505
10,8.502482999999998,8.498458333333334
11,8.505854166666664,8.504058333333331
12,8.250360499999996,8.248075
13,8.158987666666665,8.156558333333335
14,8.155547166666667,8.154791666666666
15,8.16241333333333,8.1559
16,8.162238833333333,8.160825
17,8.157459833333334,8.156908333333334
18,8.175553285714281,8.17532142857143
19,8.15754185714286,8.158078571428572
20,8.177798571428571,8.176378571428572
21,8.175500285714286,8.174385714285714
22,8.15916883333334,8.15835
23,8.16197666666667,8.161583333333335
24,8.086551857142855,8.084957142857144
25,8.050391857142854,8.04887857142857
26,8.035536285714286,8.027371428571428
27,8.049161142857143,8.048907142857143
28,8.059655142857148,8.054435714285715
29,8.058784285714284,8.057535714285715
30,8.055950857142856,8.0544
31,8.049703142857146,8.048957142857143
32,8.048538142857142,8.048235714285715
33,8.05393114285714,8.0575
34,8.046228857142854,8.045392857142858
35,8.052394714285713,8.049828571428572
36,8.050532285714285,8.048207142857143
37,8.04885585714286,8.047728571428571
38,8.03985885714286,8.04672857142857
39,8.071088714285713,8.072307142857143
40,8.042812714285713,8.044342857142857
41,8.053296428571429,8.056057142857142
42,8.054428714285716,8.046135714285715
43,8.047630857142858,8.04512857142857
44,8.049303714285715,8.048135714285715
45,8.046753714285718,8.046707142857143
46,8.050235714285714,8.049614285714286
47,8.055814142857143,8.058857142857143
48,8.124788333333331,8.123466666666666
49,8.542164500000002,8.543983333333331
50,8.55046233333333,8.54855
51,8.545087333333337,8.543091666666667
52,8.525727166666668,8.52035
53,8.567564666666668,8.567191666666668
54,8.548895166666668,8.548925
55,8.549336166666665,8.549391666666668
56,8.543222999999998,8.541008333333332
57,8.557949333333333,8.5526
58,8.5250485,8.518183333333335
59,8.542687999999998,8.540741666666667
60,8.54448883333333,8.542416666666666
61,8.539864,8.537733333333332
62,8.546271,8.541516666666666
63,8.550588666666664,8.550908333333332
64,8.538924166666668,8.539466666666668
65,8.541456166666668,8.540116666666668
66,8.526848333333334,8.518783333333332
67,8.544210833333336,8.541558333333333
68,8.543262166666668,8.540316666666667
69,8.565031166666667,8.565825
70,8.562148333333338,8.561916666666669
71,8.546505333333332,8.543408333333332
72,8.572195833333332,8.5677
73,8.539278166666664,8.539683333333334
74,8.513062166666668,8.508508333333332
75,8.534314499999994,8.531408333333331
76,8.546077333333333,8.542041666666668
77,8.544337833333334,8.542358333333333
78,8.545395833333329,8.542058333333332
79,8.549085499999999,8.5483
80,8.549648666666664,8.5493
81,8.544699666666672,8.540641666666668
82,8.562876333333337,8.562208333333333
83,8.543117000000002,8.541891666666668
84,8.529464166666664,8.52215
85,8.539141000000003,8.537133333333331
86,8.550826833333334,8.5502
87,8.541623333333332,8.539366666666668
88,8.549127833333332,8.547641666666667
89,8.540121500000001,8.5417
90,8.569297499999994,8.566783333333332
91,8.541270833333336,8.540283333333331
92,8.543662000000001,8.541725
93,8.557274666666672,8.551733333333333
94,8.539075999999996,8.538
95,8.540848999999998,8.537483333333334
96,8.562209333333335,8.562733333333332
97,9.062168333333336,9.055583333333333
98,10.171392800000001,10.16976
99,10.1734684,10.17193
100,10.1341988,10.13239
101,10.135101,10.13264
102,10.1448938,10.14392
103,10.145929,10.14601
104,10.116189199999999,10.1119
105,10.1312506,10.13226
106,10.1600646,10.16313
107,10.1314404,10.13494
108,10.111267400000001,10.10646
109,10.1381196,10.13741
110,10.1379148,10.1342
111,10.1486094,10.1469
112,10.1624808,10.16541
113,10.172376400000001,10.16943
114,10.1632056,10.16512
115,10.1685168,10.16681
116,10.138007400000001,10.13607
117,10.124365800000001,10.12885
118,10.174627599999999,10.16849
119,10.1477142,10.13668
120,10.137131,10.1352
121,10.133943,10.13153
122,10.1374154,10.13509
123,10.143969199999999,10.13405
124,10.1544384,10.14803
125,10.1354726,10.13367
126,10.1250992,10.12502
127,10.1274464,10.1184
128,10.1309874,10.13302
