sz,mean,median
3,109.998592,109.7297
4,110.602376,110.94275
5,105.65829,105.43185
6,110.168303,110.47985
7,108.901994,109.20735
8,105.218164,105.65415
9,105.341524,105.6877
10,105.303562,105.6861
11,105.437713,105.68765
12,100.993966,100.9623
13,105.458451,105.7045
14,105.242908,105.7031
15,103.21973,103.4557
16,102.026806,102.3743
17,101.919234,102.33415
18,102.229791,102.3928
19,101.576703,102.33985
20,98.202019,97.96985
21,101.969532,102.3978
22,102.004809,102.35695
23,101.839214,102.3645
24,102.037048,102.3663
25,101.967447,102.33595
26,98.012122,97.98225
27,102.132851,102.39125
28,101.885424,102.33025
29,102.224385,102.3863
30,102.130636,102.58795
31,102.286085,102.76675
32,102.041432,102.71135
33,102.169784,102.7498
34,102.326347,102.7243
35,98.846707,98.7155
36,98.727683,98.6948
37,102.365719,102.7467
38,102.063173,102.6973
39,102.339567,102.698
40,102.374709,102.7501
41,102.457036,102.7487
42,102.327112,102.68405
43,102.427063,102.7518
44,102.468515,102.74625
45,102.087751,102.71665
46,102.346044,102.7269
47,102.472421,102.73735
48,101.904078,102.7219
49,102.013987,102.7207
50,98.744025,98.7
51,102.290472,102.7447
52,102.443556,102.75435
53,102.346137,102.7386
54,102.252646,102.70445
55,102.371105,102.74135
56,102.501447,102.7554
57,102.267555,102.73
58,102.128831,102.73585
59,102.171138,102.7461
60,102.318909,102.7393
61,109.505784,110.03765
62,106.615482,106.61345
63,109.536993,110.3105
64,106.740734,106.70155
65,106.619959,106.61
66,109.754634,110.3265
67,110.024465,110.29355
68,109.463674,110.25865
69,109.568471,110.2914
70,106.672148,106.604
71,109.938099,110.2865
72,109.773941,110.2909
73,109.524222,110.3271
74,109.74396,110.28235
75,109.78419,110.298
76,109.502102,110.28915
77,106.674136,106.6379
78,106.685406,106.63395
79,109.665175,110.25
80,109.979839,110.3094
81,109.684278,110.3121
82,108.951581,110.1285
83,109.795755,110.29975
84,109.812235,110.2628
85,106.72156,106.62515
86,106.703243,106.64745
87,106.66527,106.6259
88,109.549263,110.2472
89,109.643411,110.2705
90,109.627562,110.2523
91,106.695807,106.64695
92,106.719505,106.65925
93,109.454737,110.28115
94,106.597563,106.62615
95,109.635157,110.2974
96,109.439146,110.2792
97,109.687633,110.26575
98,109.658636,110.3026
99,106.684146,106.64525
100,106.701406,106.6384
101,109.684945,110.25135
102,109.642672,110.25695
103,110.038267,110.318
104,109.602643,110.23295
105,109.511168,110.25435
106,109.755924,110.24565
107,109.705697,110.29025
108,109.581728,110.2597
109,109.416944,110.2781
110,109.784646,110.31795
111,109.666786,110.28705
112,109.755381,110.312
113,109.803489,110.3024
114,109.509899,110.2936
115,106.761696,106.6963
116,106.74333,106.68885
117,106.662214,106.6726
118,109.23931,110.278
119,109.994774,110.31245
120,109.272517,110.2858
121,109.293867,110.22305
122,128.702676,128.7637
123,130.603948,131.4745
124,130.16275,130.27975
125,128.290612,128.2654
126,128.320614,128.2754
127,130.127492,130.8703
128,130.206227,130.4377
