s,key_cmp,key_cmp1,key_cmp2,key_cmp3(nearly_sorted),key_cmp4(rsort)
3,18675003,18673654,18674650,10885045,10066432
4,18728633,18727719,18727980,10671451,10493568
5,18728633,18727719,18727980,10671451,10493568
6,18728633,18727719,18727980,10671451,10493568
7,18822528,18821015,18822075,10574300,10882176
8,19073867,19072201,19073980,10326811,11872128
9,19073867,19072201,19073980,10326811,11872128
10,19073867,19072201,19073980,10326811,11872128
11,19073867,19072201,19073980,10326811,11872128
12,19073867,19072201,19073980,10326811,11872128
13,19073867,19072201,19073980,10326811,11872128
14,19073867,19072201,19073980,10326811,11872128
15,19890097,19887702,19887218,10035358,14203776
16,20223435,20223690,20224407,9916652,15153536
17,20223435,20223690,20224407,9916652,15153536
18,20223435,20223690,20224407,9916652,15153536
19,20223435,20223690,20224407,9916652,15153536
20,20223435,20223690,20224407,9916652,15153536
21,20223435,20223690,20224407,9916652,15153536
22,20223435,20223690,20224407,9916652,15153536
23,20223435,20223690,20224407,9916652,15153536
24,20223435,20223690,20224407,9916652,15153536
25,20223435,20223690,20224407,9916652,15153536
26,20223435,20223690,20224407,9916652,15153536
27,20223435,20223690,20224407,9916652,15153536
28,20223435,20223690,20224407,9916652,15153536
29,20223435,20223690,20224407,9916652,15153536
30,21598223,21599357,21599092,9695354,18473216
31,23182125,23187232,23184872,9457938,22272256
32,23182125,23187232,23184872,9457938,22272256
33,23182125,23187232,23184872,9457938,22272256
34,23182125,23187232,23184872,9457938,22272256
35,23182125,23187232,23184872,9457938,22272256
36,23182125,23187232,23184872,9457938,22272256
37,23182125,23187232,23184872,9457938,22272256
38,23182125,23187232,23184872,9457938,22272256
39,23182125,23187232,23184872,9457938,22272256
40,23182125,23187232,23184872,9457938,22272256
41,23182125,23187232,23184872,9457938,22272256
42,23182125,23187232,23184872,9457938,22272256
43,23182125,23187232,23184872,9457938,22272256
44,23182125,23187232,23184872,9457938,22272256
45,23182125,23187232,23184872,9457938,22272256
46,23182125,23187232,23184872,9457938,22272256
47,23182125,23187232,23184872,9457938,22272256
48,23182125,23187232,23184872,9457938,22272256
49,23182125,23187232,23184872,9457938,22272256
50,23182125,23187232,23184872,9457938,22272256
51,23182125,23187232,23184872,9457938,22272256
52,23182125,23187232,23184872,9457938,22272256
53,23182125,23187232,23184872,9457938,22272256
54,23182125,23187232,23184872,9457938,22272256
55,23182125,23187232,23184872,9457938,22272256
56,23182125,23187232,23184872,9457938,22272256
57,23182125,23187232,23184872,9457938,22272256
58,23182125,23187232,23184872,9457938,22272256
59,23182125,23187232,23184872,9457938,22272256
60,23182125,23187232,23184872,9457938,22272256
61,29640369,29667329,29660400,8999538,36483648
62,29883667,29909519,29907609,8982318,37019328
63,29883667,29909519,29907609,8982318,37019328
64,29883667,29909519,29907609,8982318,37019328
65,29883667,29909519,29907609,8982318,37019328
66,29883667,29909519,29907609,8982318,37019328
67,29883667,29909519,29907609,8982318,37019328
68,29883667,29909519,29907609,8982318,37019328
69,29883667,29909519,29907609,8982318,37019328
70,29883667,29909519,29907609,8982318,37019328
71,29883667,29909519,29907609,8982318,37019328
72,29883667,29909519,29907609,8982318,37019328
73,29883667,29909519,29907609,8982318,37019328
74,29883667,29909519,29907609,8982318,37019328
75,29883667,29909519,29907609,8982318,37019328
76,29883667,29909519,29907609,8982318,37019328
77,29883667,29909519,29907609,8982318,37019328
78,29883667,29909519,29907609,8982318,37019328
79,29883667,29909519,29907609,8982318,37019328
80,29883667,29909519,29907609,8982318,37019328
81,29883667,29909519,29907609,8982318,37019328
82,29883667,29909519,29907609,8982318,37019328
83,29883667,29909519,29907609,8982318,37019328
84,29883667,29909519,29907609,8982318,37019328
85,29883667,29909519,29907609,8982318,37019328
86,29883667,29909519,29907609,8982318,37019328
87,29883667,29909519,29907609,8982318,37019328
88,29883667,29909519,29907609,8982318,37019328
89,29883667,29909519,29907609,8982318,37019328
90,29883667,29909519,29907609,8982318,37019328
91,29883667,29909519,29907609,8982318,37019328
92,29883667,29909519,29907609,8982318,37019328
93,29883667,29909519,29907609,8982318,37019328
94,29883667,29909519,29907609,8982318,37019328
95,29883667,29909519,29907609,8982318,37019328
96,29883667,29909519,29907609,8982318,37019328
97,29883667,29909519,29907609,8982318,37019328
98,29883667,29909519,29907609,8982318,37019328
99,29883667,29909519,29907609,8982318,37019328
100,29883667,29909519,29907609,8982318,37019328
101,29883667,29909519,29907609,8982318,37019328
102,29883667,29909519,29907609,8982318,37019328
103,29883667,29909519,29907609,8982318,37019328
104,29883667,29909519,29907609,8982318,37019328
105,29883667,29909519,29907609,8982318,37019328
106,29883667,29909519,29907609,8982318,37019328
107,29883667,29909519,29907609,8982318,37019328
108,29883667,29909519,29907609,8982318,37019328
109,29883667,29909519,29907609,8982318,37019328
110,29883667,29909519,29907609,8982318,37019328
111,29883667,29909519,29907609,8982318,37019328
112,29883667,29909519,29907609,8982318,37019328
113,29883667,29909519,29907609,8982318,37019328
114,29883667,29909519,29907609,8982318,37019328
115,29883667,29909519,29907609,8982318,37019328
116,29883667,29909519,29907609,8982318,37019328
117,29883667,29909519,29907609,8982318,37019328
118,29883667,29909519,29907609,8982318,37019328
119,29883667,29909519,29907609,8982318,37019328
120,29883667,29909519,29907609,8982318,37019328
121,29883667,29909519,29907609,8982318,37019328
122,43179450,43195401,43194412,8525421,64893888
123,44193771,44212752,44218343,8490981,67036608
124,44193771,44212752,44218343,8490981,67036608
125,44193771,44212752,44218343,8490981,67036608
126,44193771,44212752,44218343,8490981,67036608
127,44193771,44212752,44218343,8490981,67036608
128,44193771,44212752,44218343,8490981,67036608
129,44193771,44212752,44218343,8490981,67036608
130,44193771,44212752,44218343,8490981,67036608
131,44193771,44212752,44218343,8490981,67036608
132,44193771,44212752,44218343,8490981,67036608
133,44193771,44212752,44218343,8490981,67036608
134,44193771,44212752,44218343,8490981,67036608
135,44193771,44212752,44218343,8490981,67036608
136,44193771,44212752,44218343,8490981,67036608
137,44193771,44212752,44218343,8490981,67036608
138,44193771,44212752,44218343,8490981,67036608
139,44193771,44212752,44218343,8490981,67036608
140,44193771,44212752,44218343,8490981,67036608
